"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","-45.3125","-22.3243999481201","1501","26.548","13.805","8.421714072","1.58938521419248","0.893323866453464","31.0827897",
"1/2/1979","-45.3125","-22.3243999481201","1501","27.457","16.505","4.0460635584","1.07452805698924","0.892883106528539","29.32954146",
"1/3/1979","-45.3125","-22.3243999481201","1501","23.511","17.084","3.390311448","1.72781869198138","0.893092507109445","21.08734398",
"1/4/1979","-45.3125","-22.3243999481201","1501","21.573","15.849","9.506610792","2.15520539010381","0.936197481993704","16.3264464",
"1/5/1979","-45.3125","-22.3243999481201","1501","21.143","14.482","1.00164384","2.15429051175744","0.887761235483449","13.60653732",
"1/6/1979","-45.3125","-22.3243999481201","1501","17.676","13.456","1.428223212","2.26128836177702","0.906119563410297","10.27597482",
"1/7/1979","-45.3125","-22.3243999481201","1501","18.834","11.777","0.5819322096","2.42368708991577","0.874899736741681","16.20911448",
"1/8/1979","-45.3125","-22.3243999481201","1501","22.864","9.37299999999999","1.3338093168","2.2452311446241","0.862883711404912","30.7014867",
"1/9/1979","-45.3125","-22.3243999481201","1501","21.505","12.591","0.2386092816","2.51289885072167","0.836874779990435","26.200579608",
"1/10/1979","-45.3125","-22.3243999481201","1501","25.83","12.626","0.231742836","1.7398446843712","0.820730846634871","23.27084658",
"1/11/1979","-45.3125","-22.3243999481201","1501","23.097","15.003","4.561043004","1.37564625255411","0.900923898900528","15.93258804",
"1/12/1979","-45.3125","-22.3243999481201","1501","18.242","14.822","28.9747280088","1.45856719135533","0.964950479244188","5.90331978",
"1/13/1979","-45.3125","-22.3243999481201","1501","20.389","14.212","2.8461470544","2.19515636041192","0.945219012734876","13.15974582",
"1/14/1979","-45.3125","-22.3243999481201","1501","23.099","13.083","0.2866744296","2.31050216056234","0.824248439955811","32.08169268",
"1/15/1979","-45.3125","-22.3243999481201","1501","24.406","14.092","0.4514696064","1.8773835863592","0.828007359086407","25.75360692",
"1/16/1979","-45.3125","-22.3243999481201","1501","24.037","14.77","0.5939493408","2.43011609625704","0.809356914423002","32.1759423",
"1/17/1979","-45.3125","-22.3243999481201","1501","25.713","14.676","0.5561830728","2.180086419068","0.796473780080397","32.37130872",
"1/18/1979","-45.3125","-22.3243999481201","1501","26.316","15.14","2.991196008","1.75589378334309","0.847581136305569","31.392943128",
"1/19/1979","-45.3125","-22.3243999481201","1501","23.608","13.97","1.6033169592","2.15352124273955","0.885158518317963","20.52883224",
"1/20/1979","-45.3125","-22.3243999481201","1501","22.584","15.445","1.5707015856","1.53757821069183","0.915735717808955","14.6456991",
"1/21/1979","-45.3125","-22.3243999481201","1501","19.449","14.9","8.095549212","1.14557534099199","0.963199034435651","5.80241088",
