"","JDAY","P_mean","P_sd","P_max","P_min","P_med","P_mod","Tm_mean","Tm_sd","Tm_max","Tm_min","Tm_med","Tm_mod","Tmax_mean","Tmax_sd","Tmax_max","Tmax_min","Tmax_med","Tmax_mod","Tmin_mean","Tmin_sd","Tmin_max","Tmin_min","Tmin_med","Tmin_mod","RH_mean","RH_sd","RH_max","RH_min","RH_med","RH_mod","Qg_mean","Qg_sd","Qg_max","QG_min","Qg_med","Qg_mod","Wind_mean","Wind_sd","Wind_max","Wind_min","Wind_med","Wind_mod"
"1",1,12.0582025802667,16.9604096382845,94.351936752,0.0102996792,5.807302488,22.6816146,19.5230416666667,1.72131311010345,23.2355,15.2155,19.6275,20.0675,23.229287037037,2.93605186949944,30.743,17.525,23.4865,26.123,15.8167962962963,1.83063802145417,18.958,9.661,15.8595,16.78,91.1389958115192,5.73522149102429,98.5606861366146,68.3604593032144,92.1057612428526,93.309934116933,17.6942490959561,9.54931226485075,32.51826648,1.125674892,19.3375863576,29.8908054,1.88667439569439,0.453579236915416,2.99137357202007,0.974373919319384,1.86496715670181,1.73992307166611
"2",2,10.8105268627333,12.3630686368308,72.413604,0.0411987168,6.9248214432,16.24603068,20.1180833333333,1.80068383103359,23.3875,14.154,20.44125,19.9345,24.3275740740741,3.17133983655926,30.889,14.94,24.454,24.518,15.9085925925926,1.70782290791652,19.829,11.562,16.0895,16.337,90.4912650053972,5.70442281247475,98.6177650571527,65.8903768026808,91.4064775077709,94.5291013307766,20.6347861623313,9.16161889563274,32.6599308,1.59570036,24.187531266,22.82490288,1.85275584850679,0.634933237444862,4.24192765675267,0.959710786937864,1.64484954748297,1.24293261259674
"3",3,13.1350289830667,17.1924744448515,90.86031972,0.0137329128,7.0638674616,8.26893144,20.0133101851852,1.76274550715054,24.5355,16.3815,20.036,20.983,23.9637962962963,3.27441995936174,32.036,17.326,23.897,19.844,16.0628240740741,1.56717679867127,18.562,11.689,16.2535,15.554,91.0139162717876,5.43999624919203,98.2615711966182,74.7134463120035,92.5489520304861,90.918926330413,17.4765032132033,8.92493720597262,32.22173862,0.815343768,18.33055362,25.0014906,1.85401444016836,0.548945109253438,3.29339839407453,0.877902156571312,1.75589110576213,1.79628538927039
"4",4,12.5013665366333,12.9811005753066,53.6098836528,0.0034332264,8.129882088,15.57654984,19.8950972222222,1.6540815454962,24.2835,15.4925,19.791,18.1555,23.9336018518519,3.01530216380746,31.23,16.358,23.931,20.597,15.8565925925926,1.77927250195306,19.173,9.39100000000002,16.355,15.536,90.2261193714345,5.82861809241122,98.0484581461541,72.0964188693667,91.2280127559462,97.1895479071085,19.765176945555,8.54435216923587,32.833336147704,1.87295634,22.28226669,8.59589802,1.97060536519521,0.543410749679861,3.60839046485136,0.946598291739995,1.85988359661479,2.28870625290163
"5",5,7.92878477626667,8.10531965897115,49.9122800928,0,5.8141694232,0,19.7965,1.87399291209424,23.4055,15.492,19.8295,15.527,24.0149907407407,3.07171016781428,30.636,16.391,24.7845,16.811,15.5780092592593,2.21620992247445,18.789,7.358,15.821,15.374,89.7800133909113,5.74668701617872,97.9818353265144,73.986353028509,90.9991820354278,97.3845529431597,21.069789248826,8.96995646496861,33.8436162,2.384792571096,23.202792396,5.00084154,1.9699423734756,0.470690126484999,2.95658382780171,0.992740701640687,1.96748272833979,2.04799930308039
"6",6,10.8987817369667,12.7279361504074,76.50260784,0,6.4510381944,0,19.8365277777778,1.72593424089508,23.1275,14.72,20.12125,21.464,24.1892037037037,3.11445641814858,31.884,16.24,24.35,16.24,15.4838518518519,1.87307997052391,19.251,10.864,15.5665,16.13,90.5495419284929,5.42829637959626,97.9767030483988,73.8905632203323,92.494215249589,96.3217824171399,21.230741238708,8.89534939593935,33.0518507976,1.638675144,23.6966355,6.11521236,1.74930832145681,0.370731719750506,2.81600202790906,0.821483467536293,1.73269086690417,2.07297582478259
"7",7,10.0928156556667,13.9535974299275,96.9886656,0.116729748,6.3540486,1.551818232,20.0923703703704,1.97034570519805,26.0825,13.794,20.26025,20.162,24.356537037037,3.1329837154432,33.651,17.377,24.6795,17.399,15.8282037037037,1.56938046446015,18.782,10.189,16.0015,16.115,90.2521772243317,4.50507929689197,98.2609993528867,77.3809291225909,91.1834131296336,93.4795047020663,21.9339351854423,8.12876677315087,31.7329641,1.712890424124,24.318093943116,12.81122046,1.75914258883704,0.393710455727991,2.5681711559493,0.930887468153211,1.73798850066768,2.22849480007439
"8",8,8.61756029003333,10.8100418970033,73.68911244,0,6.145051392,6.282804528,20.3653472222222,1.74435977792771,23.479,14.4975,20.74625,21.5185,24.9154907407407,2.66806219187757,30.54,18.746,25.36,20.682,15.8152037037037,1.7168837928401,18.722,8.31299999999999,16.02,15.877,89.5014511673403,4.97189364559507,97.9588067633219,77.4208706245551,90.2775360100508,93.4064010338553,23.1130452863919,7.77045995497786,32.048344512,1.459912914,25.16006124,18.8814402,1.73404672225494,0.428749308078609,3.05603760615751,0.713718072451001,1.67792369590949,1.69854070916886
"9",9,10.2664516514,11.9071261753128,73.0779984,0.0480651768,7.4458088244,1.000785852,20.3039259259259,1.82811989603386,23.9735,14.5885,20.4645,17.048,24.5587685185185,2.93715636083127,30.349,15.57,24.735,20.24,16.0490833333333,1.7958745513553,19.786,9.07900000000001,16.2705,17.786,90.4837122051164,4.41295250664817,98.5405629213155,79.7176323688738,90.9782008487036,90.3067582626439,20.6249050008093,8.24179883178803,31.22033562,0.795688385652,22.31043948,16.78955418,1.73797527384155,0.46000248224724,3.73262962942089,0.984736780872538,1.63130535439048,2.2719486490187
"10",10,13.7049195956333,17.1169251680194,90.6680466,0,8.7444301032,0,20.1773981481481,1.63072826566695,23.4265,15.488,20.2835,20.163,24.2108703703704,2.79001985419055,29.315,17.4,24.9675,21.888,16.1439259259259,1.41608316393213,18.755,11.645,16.2435,17.838,90.6259821794458,5.17468171354828,98.6358285869019,70.9654466866412,91.4461618694295,87.4132715600982,19.7801224141867,8.50534299838756,31.742261352,0.824330867328,21.60354591,24.48483372,1.77435366170594,0.478106052892431,3.36269136342602,0.836017576911422,1.75920946980079,1.76134174270901
