"","Month","P_mean","P_sd","P_max","P_min","P_med","P_mod","Tm_mean","Tm_sd","Tm_max","Tm_min","Tm_med","Tm_mod","Tmax_mean","Tmax_sd","Tmax_max","Tmax_min","Tmax_med","Tmax_mod","Tmin_mean","Tmin_sd","Tmin_max","Tmin_min","Tmin_med","Tmin_mod","RH_mean","RH_sd","RH_max","RH_min","RH_med","RH_mod","Qg_mean","Qg_sd","Qg_max","Qg_min","Qg_med","Qg_mod","Wind_mean","Wind_sd","Wind_max","Wind_min","Wind_med","Wind_mod"
"1",1,344.058280749533,13.5839501061599,113.555699172,0,6.9179556744,0,20.0274626642772,1.76172740209681,26.0825,13.74,20.20325,19.8325,24.1141412783752,3.04809691057714,33.651,14.94,24.308,25.396,15.9407840501792,1.72131541570483,19.829,4.65899999999999,16.101,15.237,90.5944075981913,5.42087047532242,98.8048011198639,60.67618983972,91.6888799155551,93.309934116933,20.1900509129689,8.78971489237139,33.8436162,0.795688385652,22.19830155,29.8908054,1.7980119826666,0.484622006543708,4.24192765675267,0.713718072451001,1.72872786666455,1.73992307166611
"2",2,273.760140375433,12.8866369813331,141.567426,0,5.9987039976,0,19.9078544973545,1.46568068531754,24.007,14.2135,20.008,20.7305,24.2517238756614,2.54905690553455,31.315,15.155,24.4855,25.105,15.5639851190476,1.72799709827902,20.645,7.64299999999997,15.7205,15.49,90.4135980502267,4.97320307250755,98.5601717045223,69.7785280470351,91.2437612239394,94.7337971873084,20.9506259176801,7.90256821215035,32.31683014338,0.864280908,22.699843266186,15.80253876,1.64412310273375,0.403515156619964,3.69101525251678,0.652875238675468,1.58611379587999,2.3099889592666
"3",3,230.745096070367,11.6369786729011,148.87332396,0,3.982545828,0,19.1755928912784,1.59910353673125,24.2205,13.9755,19.30225,20.005,23.4335170250896,2.64576181285662,29.964,14.994,23.5895,23.718,14.9176687574671,1.92317307497861,19.231,6.42099999999999,15.123,14.774,91.2060722648012,4.40545132622991,98.8580284579074,74.9301244408913,91.8922568686958,93.5542942929644,17.6860816481402,7.13650806606461,29.815314105942,0.696825108,18.556676784,18.885996288,1.60996370621724,0.401102216593266,3.32929506038081,0.683487257467205,1.55529795526491,1.85181034742856
"4",4,108.9569683623,6.97087697966229,111.5387082,0,1.410197418,0,17.6362888888889,1.86655690924803,22.411,11.0395,17.84025,17.4205,22.1208848765432,2.53903234200203,29.339,13.774,22.3745,23.216,13.1516929012346,2.48160356234455,19.039,2.41000000000003,13.4445,14.119,90.2499891759367,4.46387080315218,98.9779893019785,61.9567805832543,90.574384417107,94.7378413740738,15.3067288507257,5.89963653078387,25.2241344,0.540255206988,16.280827236,10.65381138,1.63393024582245,0.427247092824112,3.72212854417644,0.513038091512585,1.55457901784019,1.45656198831743
"5",5,68.1013278461333,7.19209780243387,129.3554988,0,0.4394531016,0,15.1210934886499,2.20366003173719,20.8895,3.23500000000002,15.282,14.5455,20.046410692951,2.76046428387197,27.743,9.79300000000001,20.3545,19.115,10.1957762843489,3.04409909135549,17.127,-3.44,10.6175,10.63,89.1750067721294,4.83140658009011,99.127114442806,62.3700281512371,89.3169835621123,88.8482661238114,12.7760752485225,5.31601830889567,21.234241137204,0.607837392,13.674231599202,14.38430742,1.76766251914786,0.516430907280725,4.23067680696958,0.620321709762661,1.69725196044382,2.78861716558502
"6",6,37.5800867154667,3.09995235038402,34.634395152,0,0.1656533736,0,14.4839794753086,2.17838701819606,20.073,4.51099999999999,14.69,14.9015,19.7822895061728,2.72115233456769,26.583,9.97899999999999,20.112,22.328,9.18566944444444,2.97215717380745,16.679,-4.02600000000001,9.43299999999999,8.90100000000001,86.5953823380167,6.29636093798545,99.1851730273145,59.6691427945496,87.0887612116696,79.0895174538808,12.729077215541,4.65098513877117,18.64384092,0,14.55524622,0,1.8578306689219,0.548916699073977,5.64766715348191,0.503664166218937,1.78978580419122,1.1892635736428
"7",7,38.0317868352333,3.40434144245931,49.7440392264,0,0.1235961936,0,14.5944577359618,2.40520380287495,21.2575,4.9255,14.916,12.743,20.0804112903226,3.33159218958046,27.807,7.589,20.6825,20.655,9.10850418160096,2.78898438641399,15.686,-2.43299999999999,9.37800000000001,9.25200000000001,82.6301975420408,8.48549686799446,99.3651394121247,37.5345826489046,83.2807783838954,91.1249709683101,13.8583507179026,5.02649706751009,20.78544834,0.65362518,15.79354038,18.69024024,1.94944178903602,0.522143224176709,4.98220828065937,0.589660785269738,1.88529382834663,1.23584930464365
"8",8,33.3900290223086,2.78353137791079,40.7154791664,0,0.089263908,0,16.6955098310292,2.65723026109423,24.2975,6.791,16.9465,18.8545,22.8893225806452,3.99399478009276,33.111,8.22899999999999,23.494,25.073,10.5016970814132,2.55486248265184,20.286,-0.180999999999983,10.716,10.549,75.9273549532307,10.5542372450332,98.1727969443094,34.3247815081561,76.2464714404408,81.0960642498313,17.1703254119731,5.54986857248351,25.18228476,0.970649694,19.095579432,18.0128817,2.04916071202228,0.473008954748965,4.48011700421561,0.847121751072235,1.99282668994944,1.91646150825815
"9",9,78.6301365305143,5.6995153450348,65.0158847784,0,0.4394532672,0,18.2332466666667,3.07970606860249,25.6665,7.4145,18.6155,17.795,24.1639714285714,4.90344140844524,35.665,9.03199999999998,24.906,22.664,12.3025219047619,2.49077530720664,17.718,1.238,12.6245,13.737,76.6018312987497,12.752945827147,97.9436551419472,34.1121733374474,78.5155462997905,63.8997048531652,18.4926094065469,7.15160739942365,28.186327216368,0.709875036,20.761452,23.277824568,2.24900275521212,0.512708034447996,4.85550619053845,0.860445434437927,2.20979970249147,2.53649350139616
"10",10,151.8909968508,8.20256405204465,96.84963,0,1.7921456064,0,19.5438864823349,2.96286280221142,26.6845,10.6995,19.814,16.3895,25.0867907834101,4.72461941175176,37.104,11.888,25.39,24.058,14.0009821812596,2.3065151217926,19.798,3.56799999999998,14.217,15.155,80.0437659990409,11.7765944356607,98.559409821177,32.5336675148312,82.332699026789,72.8756488688925,19.9091985364467,7.81079151380575,31.1796729,0.925030998,21.85644474,18.98431362,2.20446422000673,0.513186408296083,5.06233856820677,0.920025122519407,2.13687894119025,1.61135429201583
