"","Month","P_mean","P_sd","P_max","P_min","P_med","P_mod","Tm_mean","Tm_sd","Tm_max","Tm_min","Tm_med","Tm_mod","Tmax_mean","Tmax_sd","Tmax_max","Tmax_min","Tmax_med","Tmax_mod","Tmin_mean","Tmin_sd","Tmin_max","Tmin_min","Tmin_med","Tmin_mod","RH_mean","RH_sd","RH_max","RH_min","RH_med","RH_mod","Qg_mean","Qg_sd","Qg_max","Qg_min","Qg_med","Qg_mod","Wind_mean","Wind_sd","Wind_max","Wind_min","Wind_med","Wind_mod"
"1",1,402.604502207,14.1293292129882,113.555699172,0,8.8263985392,0,19.8676379928315,1.81641193774366,25.557,13.794,20.08975,19.3135,23.7454623655914,2.98875155894457,32.332,14.94,24.006,27.177,15.9898136200717,1.79496214712901,19.829,6.44999999999999,16.2375,17.446,91.6796625402666,5.04180361087337,98.6297215416824,62.8371144023183,92.7400234805287,93.309934116933,19.4570252131922,8.91457744245172,33.4434771,0.815343768,21.49644492,29.8908054,1.81198447491465,0.493235692922468,4.06608956853289,0.713718072451001,1.74776125877404,1.73992307166611
"2",2,324.1444825993,13.2701777012831,133.3775196,0,8.140184514,0,19.8350287698413,1.49521649339845,23.911,14.2135,19.95325,20.186,23.9929712301587,2.50804398322936,30.174,15.155,24.239,25.623,15.6770863095238,1.78998438451663,20.645,7.64299999999997,15.856,16.811,91.3280518086783,4.62672809449404,98.2757808336178,73.2205221905587,92.1276629971734,94.7337971873084,20.4351606008182,7.97907766586236,32.31683014338,1.249312932,21.995405154,13.83176025,1.6476074588273,0.408140451952039,3.69101525251678,0.749987064842809,1.59241834086495,2.3099889592666
"3",3,287.671240192,12.9431156143537,148.87332396,0,5.8210359444,0,19.0727172939068,1.66169264669143,23.663,13.9755,19.2195,19.877,23.11979390681,2.64376898453442,29.964,14.994,23.2565,26.705,15.0256406810036,1.96652262825925,19.058,6.42099999999999,15.2495,14.39,92.2381540267873,4.12788950771468,98.4588950434996,74.9301244408913,93.0322310849668,93.5542942929644,17.046250493379,7.25127451834569,29.815314105942,0.696825108,17.758742292,18.885996288,1.62710476095479,0.413448471566901,3.15888901416443,0.697211103669279,1.56321446468979,1.85181034742856
"4",4,137.8727893312,8.02012820515245,111.5387082,0,2.3157102384,0,17.6569550925926,1.89439965708693,21.904,11.0985,17.884,19.1275,21.9190824074074,2.5263856616271,28.208,13.774,22.1665,23.802,13.3948277777778,2.45371241911985,19.039,4.529,13.698,15.459,91.2359583058133,4.27753955195367,98.84334981024,68.7409973303079,91.6838374627681,94.7378413740738,14.9677580351843,5.95947903848647,24.96433431024,0.77495652,15.74465778,10.65381138,1.65197686800068,0.437610662585234,3.46753350771729,0.696322743024237,1.57583847007351,1.45656198831743
"5",5,69.953758064,6.53277793968857,129.3554988,0,0.5939488152,0,15.2322795698925,2.2454695133142,20.8895,4.08050000000001,15.4035,15.009,19.9251353046595,2.75691730238132,27.028,10.304,20.2165,22.971,10.5394238351254,3.05466292130631,17.127,-2.14299999999997,11.023,7.94900000000001,89.8978235319525,4.89507376258296,98.8545566024765,66.3226931323151,90.0472755764688,88.8482661238114,12.4807421068649,5.41228335507789,20.8027656,0.607837392,13.31690751,12.21333732,1.79603207251333,0.561843606870449,4.23067680696958,0.620321709762661,1.71786298343571,2.78861716558502
"6",6,40.0049964281,2.86971977923031,28.827099,0,0.271224738,0,14.6378657407407,2.18485102478257,20.073,6.1975,14.84625,14.605,19.7132037037037,2.72508565291838,26.136,10.751,20.1255,20.567,9.56252777777778,2.89907980178126,16.554,-3.887,9.90849999999998,8.90100000000001,87.0759838872215,6.68762742882654,98.8762664831796,60.8544277888665,87.8191654853908,79.0895174538808,12.5540663221171,4.73931136521766,18.38075868,0,14.37752979,18.38075868,1.90204916030198,0.578535247665794,4.82740140070757,0.624489368952681,1.81709271760898,1.1892635736428
"7",7,42.2425310853,3.23473821500422,35.98365276,0,0.2214433512,0,14.6529892473118,2.52801878591656,21.2575,5.07750000000001,14.97475,16.4155,19.9396093189964,3.4617627555167,27.725,8.20999999999998,20.6345,22.996,9.36636917562724,2.8393741718559,15.447,-2.24599999999998,9.70699999999999,9.47000000000003,83.3487755482043,9.17523844148405,98.9048255873803,37.5345826489046,84.3639583371935,91.1249709683101,13.4976507487709,5.28058674497016,20.41880796,0.65362518,15.5159963046,7.5861621,1.95905790897021,0.538093640687281,4.52084152258837,0.589660785269738,1.89728489900759,1.23584930464365
"8",8,42.5915948805943,3.13150289283639,40.7154791664,0,0.1785278016,0,16.6266248847926,2.73064178220764,24.177,7.56899999999999,16.9425,18.169,22.5978313364055,4.07226746091006,33.111,9.12099999999998,23.327,26.824,10.6554184331797,2.5897960127166,19.443,-0.180999999999983,10.909,9.012,77.4210689724927,10.928973324811,97.6981382720764,34.3247815081561,78.148071714362,81.0960642498313,16.5954540056174,5.83203932818297,24.59260908,0.970649694,18.34441488,19.47217626,2.03381643899454,0.468310105808302,4.11416934696411,0.90825874246184,1.98534861339462,1.91646150825815
"9",9,93.6212841171771,6.04810401597446,63.4752468,0,0.71496927,0,18.0225128571429,3.18564976440075,25.6665,8.02599999999998,18.39375,21.3275,23.7290361904762,5.06704532754601,34.981,9.03199999999998,24.283,13.777,12.3159895238095,2.5119673152783,17.475,1.39600000000002,12.6575,14.356,78.5809772050042,12.8079086950758,97.9436551419472,34.1121733374474,80.8689437933957,63.8997048531652,17.5678236123105,7.48910539000296,28.186327216368,0.709875036,19.841115645,23.277824568,2.22398477255654,0.49825336384438,4.85550619053845,0.860445434437927,2.202463690776,2.53649350139616
"10",10,183.470319534034,8.61757645651072,68.298101064,0,2.6367195312,0,19.2195866359447,3.01131184257688,26.489,10.88,19.449,21.0475,24.4740119815668,4.80201268101217,36.508,11.888,24.72,26.278,13.9651612903226,2.32551007474173,18.98,5.113,14.179,12.82,82.1181073529716,11.569415954776,98.559409821177,33.8967875551222,84.7819272497835,72.8756488688925,18.6360493454179,8.13730546399563,30.6369432,1.231762356,20.3960286,18.98431362,2.18492021283029,0.500386035084924,4.37113049945361,1.00379920108784,2.14652148175678,1.61135429201583
"11",11,265.706200206103,12.4643804920172,185.7117636,0,5.0738840712,0,19.4278038095238,2.51653488492786,26.0265,10.7665,19.74,21.983,24.1832638095238,4.03069675818689,35.664,11.498,24.567,28.28,14.6723438095238,2.17563441913486,19.068,4.84100000000001,14.88,16.966,86.3961379512763,8.37509931497508,98.4457530727308,52.9064219261,87.8111887553348,92.356998422788,19.8672217750074,8.54437178394787,33.1500942,1.021308626376,22.26518019,22.25300418,2.1057497155522,0.5113638835642,4.66399277771685,0.866617014386565,2.04430618492791,2.04969423056183
"12",12,372.21161480352,12.8262138959579,127.33492356,0,8.0921202408,0,19.7929502304147,2.01051096633864,24.784,12.2045,20.0425,19.087,23.8266949308756,3.33810624744159,33.067,13.775,24.056,22.373,15.7592055299539,1.80626197187437,19.502,7.02300000000002,15.992,17.125,90.2979566794553,5.97755628210089,98.5718099785437,58.8788708555949,91.6382013203847,85.1747997434216,19.0412990487979,9.01666818996354,33.0719292,0.920981448,20.732165171388,29.17068768,1.97623392266092,0.505214345392376,3.9435351922404,0.876015022571636,1.9169173336105,1.92440141868722
